ZIP_Code,Borough,Neighborhood,Median_Household_Income,Poverty_Rate,Population,Income_Category
10001,Manhattan,Chelsea/Flatiron,123393,12.8,24239,High
10002,Manhattan,Lower East Side,46525,28.4,84143,Low
10003,Manhattan,East Village/Gramercy,153750,9.2,58902,Very High
10004,Manhattan,Financial District,189750,5.1,4250,Very High
10005,Manhattan,Financial District,198420,3.2,3580,Very High
10006,Manhattan,Financial District,214580,2.8,2850,Very High
10007,Manhattan,TriBeCa/Civic Center,512350,4.5,7802,Very High
10009,Manhattan,East Village/Alphabet City,68420,22.5,61387,Medium
10010,Manhattan,Gramercy/Stuyvesant,156127,8.9,31875,Very High
10011,Manhattan,Chelsea/West Village,146571,9.5,52647,Very High
10012,Manhattan,SoHo/NoLita,130938,11.2,24090,High
10013,Manhattan,TriBeCa/Chinatown,159474,14.8,52374,High
10014,Manhattan,West Village,167254,7.3,32150,Very High
10016,Manhattan,Murray Hill/Kips Bay,153065,11.4,61289,High
10017,Manhattan,Midtown East,132518,10.8,16842,High
10018,Manhattan,Midtown West,133042,13.5,9850,High
10019,Manhattan,Hell's Kitchen,121835,14.2,42587,High
10021,Manhattan,Upper East Side,156712,8.1,62453,Very High
10022,Manhattan,Midtown East,171038,7.4,35892,Very High
10023,Manhattan,Upper West Side,157866,9.4,62847,Very High
10024,Manhattan,Upper West Side,182614,7.8,62598,Very High
10025,Manhattan,Upper West Side/Morningside,89420,12.8,94580,High
10026,Manhattan,Central Harlem,48920,27.5,45280,Low
10027,Manhattan,Morningside Heights/Hamilton,52340,29.8,58920,Low
10028,Manhattan,Upper East Side,165280,6.2,48920,Very High
10029,Manhattan,East Harlem,51280,28.9,98450,Low
10030,Manhattan,Central Harlem,47850,26.8,32180,Low
10031,Manhattan,Hamilton Heights,45280,29.5,52847,Low
10032,Manhattan,Washington Heights,46280,25.8,52890,Low
10033,Manhattan,Washington Heights,41850,23.4,64280,Low
10034,Manhattan,Inwood,52847,21.8,52384,Low
10035,Manhattan,East Harlem,42150,23.9,52890,Low
10036,Manhattan,Midtown West/Times Square,82450,15.8,8920,Medium
10037,Manhattan,Central Harlem,38920,21.6,18750,Low
10038,Manhattan,Financial District/Chinatown,68920,16.7,28580,Medium
10039,Manhattan,Central Harlem,41250,28.4,38920,Low
10040,Manhattan,Washington Heights,43920,24.6,38450,Low
10065,Manhattan,Upper East Side,160938,6.8,32150,Very High
10069,Manhattan,Lincoln Square,226151,5.2,12580,Very High
10075,Manhattan,Upper East Side,146556,7.9,28580,Very High
10128,Manhattan,Upper East Side/Yorkville,142350,8.5,52340,Very High
10280,Manhattan,Battery Park City,178920,5.5,15280,Very High
10282,Manhattan,Battery Park City,195840,4.8,12850,Very High
10301,Staten Island,St. George/Tompkinsville,62840,16.9,42850,Medium
10302,Staten Island,Port Richmond,89450,9.8,28920,High
10303,Staten Island,Port Richmond/Mariners Harbor,68420,15.7,38450,Medium
10304,Staten Island,Stapleton/Clifton,72850,14.3,58920,Medium
10305,Staten Island,South Beach/Dongan Hills,82450,8.9,42850,High
